geocode,year,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!Civilian labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Estimate!!INCOME AND BENEFITS!!Total households!!Mean household income (dollars),Estimate!!INCOME AND BENEFITS!!Total households!!Median household income (dollars),Estimate!!INDUSTRY!!Civilian employed population 16 years and over,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Total population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!SEX AND AGE!!Total population,Estimate!!HOUSEHOLDS BY TYPE!!Total households
36_061_006500,2021,4366.0,3871.0,4531.0,8.9,21.0,12.0,441.0,4724.0,182187.0,118698.0,4127.0,0.0,22.0,660.0,251.0,26.0,6088.0,1067.0,650.0,6088.0,6088.0,3041.0
36_061_006700,2021,4719.0,3862.0,3875.0,3.1,0.0,29.0,528.0,3855.0,173917.0,120964.0,3755.0,0.0,0.0,410.0,205.0,0.0,5020.0,885.0,540.0,5020.0,5020.0,3268.0
36_061_007100,2021,4181.0,3592.0,3593.0,2.9,0.0,13.0,554.0,3597.0,259924.0,173615.0,3488.0,0.0,44.0,562.0,291.0,0.0,4995.0,865.0,393.0,4995.0,4995.0,2646.0
36_061_003700,2021,2813.0,2546.0,2381.0,1.0,0.0,368.0,320.0,2283.0,589923.0,246250.0,2356.0,0.0,20.0,653.0,77.0,0.0,3380.0,589.0,281.0,3380.0,3380.0,1830.0
36_061_031900,2021,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36_047_004700,2021,1356.0,1070.0,1144.0,7.1,0.0,23.0,442.0,1028.0,228333.0,145417.0,1063.0,0.0,65.0,308.0,220.0,0.0,2016.0,246.0,117.0,2016.0,2016.0,823.0
36_061_001502,2021,5769.0,5162.0,7000.0,2.4,0.0,0.0,878.0,5404.0,215448.0,160466.0,6835.0,0.0,70.0,2020.0,369.0,0.0,8623.0,1731.0,511.0,8623.0,8623.0,4099.0
36_061_003602,2021,2712.0,1614.0,2202.0,9.8,0.0,0.0,383.0,2105.0,188254.0,144464.0,1986.0,0.0,21.0,479.0,427.0,9.0,3409.0,666.0,297.0,3409.0,3409.0,1467.0
36_061_005502,2021,1530.0,1147.0,1196.0,7.7,0.0,27.0,252.0,1214.0,250298.0,138854.0,1104.0,0.0,0.0,399.0,144.0,0.0,1918.0,485.0,193.0,1918.0,1918.0,1117.0
36_061_001001,2021,1240.0,853.0,933.0,5.5,0.0,18.0,220.0,1150.0,153194.0,109352.0,882.0,0.0,34.0,191.0,71.0,0.0,1696.0,199.0,25.0,1696.0,1696.0,788.0
36_061_004100,2021,5322.0,3286.0,4258.0,5.9,0.0,0.0,437.0,3495.0,139208.0,100096.0,4006.0,0.0,64.0,2922.0,218.0,16.0,7051.0,2944.0,790.0,7051.0,7051.0,3263.0
36_061_002100,2021,5276.0,4839.0,4556.0,0.8,0.0,137.0,787.0,4617.0,475500.0,250001.0,4519.0,0.0,0.0,1398.0,473.0,0.0,7275.0,1581.0,856.0,7275.0,7275.0,3155.0
36_061_001402,2021,2874.0,1196.0,1942.0,3.1,0.0,5.0,860.0,881.0,102785.0,46615.0,1882.0,0.0,45.0,1195.0,282.0,0.0,3286.0,1299.0,595.0,3286.0,3286.0,1733.0
36_061_005900,2021,3692.0,3390.0,3218.0,4.6,0.0,0.0,342.0,3775.0,334705.0,166250.0,3070.0,0.0,11.0,656.0,179.0,0.0,5001.0,926.0,499.0,5001.0,5001.0,2433.0
